Time,Australia,Brazil,Canada,Chile,China (People's Republic of),Colombia,Costa Rica,Denmark,Iceland,India,Israel,Japan,New Zealand,Norway,South Africa,Sweden,Switzerland,Turkey,United Kingdom
2000-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2001-01-01,112.097013815,128.435687099,104.262187346,117.67107281,99.9826538708,110.140744019,106.711548552,102.878142855,123.877756359,104.994949,103.147081683,112.657428453,108.029344742,102.17891122,124.054659568,112.857104338,99.9409932681,196.73541982,105.104402101
2002-01-01,106.648066599,159.633009971,105.718851045,127.678383951,99.9813251283,119.940428296,116.753091551,97.4808074354,116.159590566,108.163305267,116.199118394,116.154540236,98.1236800853,90.779130825,151.887770129,106.118042795,92.2288845062,242.236218843,100.903960362
2003-01-01,89.2858280573,168.221072983,94.2934713078,128.13445456,99.982279407,137.824919153,129.357366817,81.3177451908,97.2715284805,103.652918454,111.693918549,107.512980516,78.1749617179,80.4567219454,109.004848535,88.1844985363,79.6718846549,240.666524326,92.6893399801
2004-01-01,78.7274611255,159.892982651,87.6095039681,112.962068247,99.9794286504,125.897215581,142.100551387,74.0299242287,89.0260463284,100.834126956,109.92437949,100.289517196,68.4456939032,76.6121381834,93.0814423643,80.1912714603,73.624701782,228.405768595,82.6174930477
2005-01-01,76.0368418035,133.0687326,81.5906070004,103.7398939,98.9830650562,111.156164268,155.031576638,74.1354134778,79.7457933342,98.1273029888,110.064593694,102.131595859,64.4455360577,73.2253745075,91.6352393748,81.5871963747,73.8140446686,214.839603649,83.2768922644
2006-01-01,76.9125933889,118.907819569,76.3795984933,98.2741446012,96.3149622202,113.086569114,165.906510566,73.4791101119,88.6539468633,100.813077416,109.282415736,107.900703577,69.9254497689,72.9226923727,97.5751704509,80.4894071814,74.2444501977,229.039893145,82.2594543206
2007-01-01,69.2250930631,106.430169512,72.339415503,96.8265943892,91.8950211294,99.5396340062,167.631309203,67.2939683196,81.2672562744,92.0050242982,100.754169453,109.19963611,61.7308662269,66.5984136982,101.520743742,73.7695692844,71.0848648325,208.206523106,75.6539569554
2008-01-01,69.3593518048,100.237451918,71.8843638097,96.8260198763,83.9361193762,94.2433655954,170.752177171,63.0431422839,111.610941586,96.8038076081,87.9992141922,95.8764664806,64.6565409709,64.2039326851,119.040760088,72.0161347633,64.1982578796,208.029051522,82.6098027313
2009-01-01,74.2627498021,109.292820742,76.8548507649,103.942344847,82.5199335532,103.369503579,186.019708183,66.2635811844,156.846431032,107.707046478,96.4438028486,86.7731351782,72.5730806354,71.5053292222,122.102075152,83.5383146047,64.3445305914,247.766508902,97.0847948214
2010-01-01,63.1430793905,96.1629431794,69.3709405255,94.5628280863,81.7813097632,90.9318627676,170.620341501,69.5071406776,155.042120244,101.744953451,91.7014872222,81.3844244942,62.9372047201,68.6832099403,105.495726983,78.6214604229,61.7739461581,240.093425655,98.0155501831
2011-01-01,56.135462321,91.4402519264,66.6030572902,89.6365279033,78.0510826594,88.5165218324,164.077229809,66.2327825769,147.198581106,103.846925788,87.7566046237,73.9156783484,57.4433207783,63.7123385202,104.62985538,70.8380778406,52.5618933815,267.75432615,94.4348752821
2012-01-01,55.9487685323,106.758743057,67.2839985833,90.1561470568,76.2496823098,86.0621944304,163.180792682,71.5865968812,158.68980605,118.903710593,94.5697101512,74.0147466446,56.0123700043,66.1035342055,118.302197115,73.891875777,55.5397901469,286.966425996,95.535044681
2013-01-01,60.0286588548,117.856231172,69.3638029878,91.7873190168,74.8415172596,89.5053125048,162.163649502,69.4576477727,154.947249973,130.386657351,88.5568581227,90.5071094926,55.3542269927,66.8037978389,139.125292442,71.0980719261,54.919893622,305.053951842,96.84737901
2014-01-01,64.2590834611,128.617165084,74.3848587239,105.700780689,74.2094706966,95.8751456006,174.672430705,69.4696902632,147.997622155,135.79736814,87.7516013531,98.1571794608,54.693997518,71.6393342175,156.382261923,74.8846717674,54.2107879235,350.620101412,91.9452867292
2015-01-01,77.0846739418,181.855371885,86.0729133139,121.226696319,75.2248111495,131.322177648,173.455181551,83.1526423994,167.286346253,142.74514036,95.3278282642,112.210911701,65.0543296829,91.6745020029,183.850810135,92.0172416786,57.012713107,436.145387669,99.0803562373
2016-01-01,77.9220245153,190.758780227,89.2467608373,125.458391827,80.2618202516,146.276936104,176.7562974,83.2190862841,153.230199541,149.516950887,94.1931159412,100.89767023,65.1577910344,95.4930646049,211.959287752,93.4050120991,58.362438779,484.115732616,112.168517843
